,Funding,counts
6664,Royal Liverpool University Hospital,1
7813,Tianjin Municipal Education Commission,1
6662,Royal Hallamshire Hospital,1
7814,Tianjin Municipal Health Commission,1
7815,"Tianjin Municipal Health and Family Planning Commission young medical talents project, Tianjin, China",1
6660,Royal Free Hospital,1
7816,Tianjin Municipal Healthand Family Planning Commission,1
6657,"Royal College of Surgeons in Ireland, RCSI",1
6656,"Royal College of Physicians of Edinburgh, RCPE",1
6655,"Royal College of Pathologists of Australasia, RCPA",1
6654,Royal College of Ophthalmologists of Thailand,1
6653,Royal College of Ophthalmologists,1
6652,Royal Children's Hospital Foundation,1
7817,Tianjin Municipal Science and Technology Bureau,1
7818,"Tianjin Project of Thousand Youth Talents, Key Laboratory Open Project Fund from State Key Laboratory of Environmental Chemistry and Ecotoxicology",1
7819,Tianjin Research Innovation Project for Postgraduate Students,1
6648,"Royal Adelaide Hospital, RAH",1
7821,Tianjin Science and Technology Program,1
7811,Tianjin Middle-aged and Young Key Innovative Talent Training Program in University,1
7808,"Tianjin Medical University Eye Institute, Tianjin, China",1
6646,Row Fogo Charitable Trust Centre for Research into Aging,1
6665,"Royal Melbourne Hospital, RMH",1
6679,Royal Victoria Infirmary,1
7797,Tianjin Key Clinical Discipline,1
7798,Tianjin Key Clinical Discipline  Project,1
7799,Tianjin Key Laboratory of Metabolic Diseases,1
6676,Royal Surrey County Hospital,1
6675,"Royal Society of Chemistry, RSC",1
7801,Tianjin Key Laboratory of retinal function and disease,1
7803,Tianjin Medical University Chu Hsien-I Memorial Hospital,1
6674,Royal Society for Public Health,1
6673,Royal Society Te Apārangi,1
7804,Tianjin Medical University Eye Hospital clinical research fund,1
7805,Tianjin Medical University Eye Hospital young innovative talents project,1
6670,Royal Oak,1
6669,Royal Norwegian Council for Scientific and Industrial Research,1
7806,"Tianjin Medical University Eye Hospital, TMUEH",1
7807,Tianjin Medical University Eye Institute Biobank,1
6668,"Royal North Shore Hospital, RNSH",1
6667,Royal National Institute for the Blind (T JF,1
6666,Royal National Institute for the Blind,1
6647,"Royal Academy of Engineering, RAENG",1
7822,Tianjin Science and Technology Support Plan,1
7795,Tianjin Health Bureau Science Foundation,1
6624,Roche Ltd.,1
6623,Roche Institute for Translational Bioengineering,1
7829,Tippi Hales,1
6622,Roche Group,1
7830,"Tissue Culture Center, New York Eye and Ear Infirmary of Mount Sinai",1
6620,Roche Diagnostics,1
7833,Titus Foundation,1
6618,Roche Diabetes Care,1
6616,Robin Chemers Neustein,1
7834,Tiziana Filardi,1
7836,Tohoku Medical Megabank Organization,1
7837,Tohoku University,1
7838,Tohoku University Graduate School of Medicine,1
6614,Robert Machemer Foundation Vitreoretinal Scholarship,1
6613,Robert Machemer Foundation,1
6612,"Robert Bosch Stiftung, RBS",1
6611,Rio Grande do Sul Research Foundation,1
6610,Rinku General Medical Center,1
6609,Riley Children’s Foundation,1
7839,"Tokai University School of Medicine, Kanagawa, Japan",1
7828,Tiinamaija Tuomi,1
6625,Roche Pharmaceuticals,1
7823,"Tianjin University of Traditional Chinese Medicine, Tianjin",1
6627,Roche UK,1
7824,Tianjin clinical key discipline construction project,1
6643,Roslyn G. Greenspon and Marty Birnbaum,1
7825,Tianjin medical university eye hospital young innovative talents project,1
6641,Rosenfeld Family Trust,1
6640,Rosenbaum Family Foundation,1
6639,Ronan Roussel,1
7826,Tianshan Innovation Team of Xinjiang Uygur Autonomous Region,1
6638,Ronald Geoffrey Arnott Foundation,1
6637,Ron and Liora Moskovitz,1
6636,Rome Foundation,1
6635,Rogers Family Foundation,1
6634,Roger W. Kittendorf Research professorship,1
6633,Rockwool Fonden,1
6632,Rockefeller Foundation,1
6631,Roche/Genentech and Santen,1
7827,Tier 2 Canada Research Chair,1
6630,"Roche, Ltd.",1
6629,"Roche plc, Apellis plc",1
6628,Roche plc,1
7796,Tianjin Health Research Project,1
6682,Royal Victorian Eye and Ear Hospital and Diabetes Australia,1
7840,Tokushima Data Service Co. Ltd.,1
6731,STTM,1
7761,The Children’s Hospital at Westmead,1
6729,SSMBS,1
7762,"The Diabetes and Endocrine Research core at the University of Iowa, and Central Ohio Lions Eye Association",1
6728,SSKM Hospital,1
6727,SSHRC-NFRF,1
6726,SOMNUS,1
6725,SOD,1
6724,SNI-CONACyT,1
7763,The George Institute,1
6723,SNF/SSMBS,1
6722,SLE,1
6721,SIMPLEX QUANTUM,1
6720,SFR Cancer Lille,1
6719,SFI-HRB US Ireland,1
7764,The Hartwell Foundation,1
6718,SFI-DfE,1
6717,SFI Visual Intelligence of the Research Council of Norway,1
7765,"The Medical Faculty, Lund University",1
7766,"The Ophthalmic Research Institute of Australia, ORIA",1
6730,STAKES/FinOHTA,1
6732,SVMPharma,1
6713,SERI-IMCB,1
6733,SVYASA,1
7751,Thai Royal Government Scholarship,1
7752,Thai Society for Pediatric Endocrinology,1
6750,"SamChunDang Pharm, Sandoz, Taiwan Liposome Company",1
7755,Thames Valley NIHR Clinical Research Network,1
6748,Saliksik Building,1
7756,Thammasat Eye Center,1
6746,Sakari Sohlberg Foundation,1
6745,"Sakakibara Heart Institute of Okayama, Okayama, Japan",1
7758,That Man May See Foundation,1
6743,"Saint Mary’s University, SMU",1
6742,"Saint Louis University, SLU",1
7759,"That Man May See, Inc.",1
6740,Sailing Program,1
7760,The Childrens Account,1
6738,"Saha Cardiovascular Research Center, University of Kentucky, SCRC",1
6737,Saga University,1
6736,Sadhu Sanchayita,1
6735,"Sackler Faculty of Medicine, Tel-Aviv University",1
6734,SXZ,1
7767,The Pharmacy Foundation,1
6712,"SENSHIN Medical Research Foundation, SMRF",1
6683,"Royal Victorian Eye and Ear Hospital, RVEEH",1
7777,Thomas,1
6691,Rush University,1
6690,Rumbalara Aboriginal Health Service,1
6689,Rukhsar Wasta,1
7780,"Thomas Foundation , and Research to Prevent Blindness",1
7783,Thorsten och Elsa Segerfalks Stiftelse,1
7784,"Thousand Oaks, California, USA), consultant and speaker for Bayer",1
7785,"Thrasher Research Fund, TRF",1
7786,"Throat Hospital, New York, New York",1
7787,Throat Research Institute,1
7788,Thrombogen-ics Inc. subsidiary,1
6686,Ruhr-University Bochum,1
6685,Rubin Medical,1
7789,Théa Pharmaceuticals Limited,1
7790,Tianjin Binhai New Area Health Commission,1
7791,Tianjin Clinical Key Discipline Project,1
7792,Tianjin Education Commission,1
7793,Tianjin Education Commission for Higher Education,1
6684,"Royal Victorian Eye and Ear Hospital, St. Vincent’s Hospital",1
7794,Tianjin Eye Hospital Fund,1
6692,Rush University Medical Center,1
6695,Rustam Rea,1
7769,The Public Trust Fund For Clinical Cancer Research,1
7776,"Third Military Medical University, TMMU",1
7770,The foundation Jeanssons Stiftelser,1
6710,SENJU,1
6709,SEEDS Foundation,1
6708,SED,1
6707,SEB-Diabetesfonden,1
6705,SBZ,1
6704,SBD-DF,1
6703,S?o Paulo Research Foundation,1
6702,S:t Eriks Ögonforskningsstiftelse,1
6701,S.I. Nishikawa,1
6700,S.C.,1
7772,Thea Open Innovation,1
6699,S. C. Bain,1
6698,Ryuji Kouyama,1
7773,Thematic Excellence Programme,1
7774,Therese Pei Fong Chow Research Centre for Prevention of Dementia,1
6697,Rute S. Araújo,1
7775,"ThinkSCIENCE, Inc.",1
6696,Rute S. Ara?jo,1
6607,Riley Children's Foundation,1
7841,Tokushima University Hospital,1
6447,RMCs,1
6506,Regional Hospital in Dar es Salaam,1
6505,Regional Health Board,1
7900,Transverse Myelitis Association,1
6503,Regional Council for Nord-Pas de Calais,1
6502,Regional Centre for Biotechnology for Institutional Core funding and Science & Engineering Research Board,1
6501,Regional Burgundy Council,1
6498,"Region Västerbotten, Umeå University",1
6497,Region Vastmanland,1
6496,Region Skåne and Lund University,1
7905,Truhlsen Eye Institute at the University of Nebraska Medical Center,1
7906,Trust Medical,1
6494,"Region Midtjylland, RM",1
6493,Region Ile-De-France,1
7909,"Tseu Medical Institute at Harris Manchester College, University of Oxford",1
6491,Reginald Lewis Foundation,1
6490,"Regeneron,",1
7910,Tseung Kwan O Hospital,1
7911,Tsinghua University-Peking Union Medical College Hospital Initiative Scientific Research Program,1
7912,Tsinghua-Fuzhou Institute of Digital Technology,1
6487,Regenera Pharma Limited,1
7899,"Transplantation Center, and Research to Prevent Blindness",1
6507,Regional Scientific Ethical Committee for Southern Denmark,1
6484,Red de Investigación en “Enfermedades Metabólicas y Cáncer,1
6508,Regional University Hospital of Nancy,1
6526,"Research Foundation for the State University of New York, RFSUNY",1
6525,"Research Foundation for Healthy Aging, and Health, Labour and Welfare Sciences Research",1
6524,"Research Councils UK, RCUK",1
6523,Research Council of the University of Hong Kong,1
7894,Training Programs in Epidemiology and Public Health Interventions Network,1
6522,Research Council of Vejle Hospital,1
6521,"Research Corporation for Science Advancement, RCSA",1
6520,Research Center for Eco-Environmental Sciences,1
6519,Research Administration,1
7895,Translational Center for Regenerative Medicine Leipzig,1
6517,Republic of Korea National Red Cross,1
7897,Translational Medicine Medical Research Center,1
6516,"Rensselaer Polytechnic Institute, RPI",1
6515,"Renal Pathology Society, RPS",1
6514,Reino Lahtikari Foundation,1
6513,"Reinholdt W. Jorck og Hustrus fond, Helga og Peter Kornings Fond",1
6512,Reinhard Marcuses Foundation,1
7898,Translational Medicine Research Program of Wuxi Translational Medicine Center,1
6509,Regione Lazio,1
7914,Tufts University,1
6483,Red Crescent Society of Kyrgyzstan,1
7893,Traditional chinese Medicine of the People's republic of China,1
7925,Turku University Central Hospital,1
6460,Race to Erase MS,1
6459,Rabin Medical Center-Bar Ilan,1
7926,Turku University Hospitals,1
6458,RWA,1
6457,RVPC,1
6456,RVEEH,1
6455,RTP,1
7927,Turun Yliopisto,1
6454,RTI International,1
7928,"Turun Yliopisto, UTU",1
6453,RS Macdonald Charitable Trust,1
6452,RRSV,1
6451,"RPB, New York, New York",1
7930,"Turun Yliopistollinen Keskussairaala, TYKS",1
6450,ROPARD Foundation,1
6449,RNM,1
6448,RMY,1
7931,Tyrogenex,1
7932,Télévie Luxembourg,1
6461,Raigmore Hospital,1
7924,Turku School of Economics and Business Administration,1
6481,RecerCaixa Foundation,1
7923,Turkish Cultural Foundation,1
7916,"Tufts University School of Medicine, and Massachusetts Lions Club",1
6480,RecensMedical,1
7917,Tulane,1
7918,Tulane COBRE for Clinical and Translational Research in Cardiometabolic Diseases,1
7919,Tulane Center for Aging,1
6477,Rebecca Dengate,1
6476,"Reata Pharmaceuticals, Inc.",1
6475,Read for the Cure,1
6474,"Raynaud’s and Scleroderma Association, RSA",1
6473,Ratchadapisek Sompoch Endowment Fund,1
6472,Rasoul Akram Hospital,1
6471,Rasmussen Foundation,1
6470,"Rare Disease Foundation, RDF",1
6468,Ramathibodi Hospital,1
7921,Tumour Bank of The Children's Hospital,1
7922,Turing Institute,1
6466,Ralph and Grace Showalter Trust Fund,1
6465,Ralph and Grace Showalter Trust,1
6464,Ralph W. and Grace M. Showalter Research Trust Fund,1
6527,Research Foundation of Education Bureau of Hunan Province,1
7892,"Traditional Chinese Medicine, Chengdu University of Traditional Chinese Medicine, Xi’an Affiliated Hospital of Shaanxi University of Traditional Chinese Medicine, First Affiliated Hospital of Tianjin University of Traditional Chinese Medicine, China Academy of Chinese Medical Sciences",1
7842,Tokyo Medical University Hachioji Medical Center,1
7854,"Tongji Hospital, TJH",1
6581,Retina Fonds,1
7857,Tongji University Research Foundation,1
6580,Retina Consultants of Orange County,1
6579,Retina Consultants San Diego,1
6578,"Retina Associates, New South Wales",1
6577,Research to Prevent BlindnessResearch,1
7859,"Tongji University School of Medicine , Shanghai, China",1
6576,Research to Prevent Blindness/Stavros Niarchos Foundation,1
7860,Tongren Eye Center,1
6575,Research to Prevent Blindness/Lions Clubs International Foundation,1
7861,Tonkinson Foundation,1
6572,"Research to Prevent Blindness, Inc. , New York, New York",1
7863,Top Six Types of Talents’’ Financial Assistance of Jiangsu Province,1
6571,"Research to Prevent Blindness, Inc.",1
6570,"Research to Prevent Blindness, Inc",1
7865,"Topcon Co., Ltd.",1
6568,Research to Prevent Blindness Research to Prevent Blindness,1
6567,Research to Prevent Blindness Inc,1
6566,Research to Prevent Blindness Foundation,1
6582,Retina France,1
7853,Tongji Eye Institute,1
7868,Topcon Europe Medical,1
6583,Retina Institute of Virginia,1
6604,Rigshospitalet's Research Foundation,1
6603,Richter Gedeon Centenary Foundation,1
6602,Richard and Loan Hill Endowment,1
6601,"Richard Saltonstall Foundation, New England Eye Research Foundation",1
6600,Richard Pearce Bequest,1
7843,Tokyo Metropolitan Institute of Medical Science,1
6598,Richard Desmond Charitable Foundation,1
6597,Richard Annesser Fund,1
6596,Ricerca Finalizzata Ministero della Salute,1
7844,Tokyo Women's Medical University Hospital,1
6592,Retinal Research Institute LLC,1
6591,Retinal Institute of Mount Sinai Medical Center,1
7845,"Tokyo Women's Medical University School of Medicine, Tokyo, Japan",1
6589,Retina Society Research Committee,1
7847,Tom Beatson Foundation,1
6587,Retina Research Foundation/Daniel,1
7848,Tom Perkins Family Foundation,1
7849,Tom Wilhelmsen Foundation,1
7851,Tomcat Trust,1
7866,Topcon Corporation,1
7869,Topcon Medical Systems,1
6529,Research Foundation of Frederiksborg County,1
7883,Tous Unis pour la Vision,1
7884,Tous unis pour la Vision,1
6542,Research Grants Council,1
6541,Research Grant Council of the Government of the Hong Kong Special Administrative Region,1
7885,"Towa Pharmaceutical Co., Ltd.",1
7886,Traditional Chinese Medicine,1
7887,Traditional Chinese Medicine International Cooperation in Traditional Chinese Medicine,1
6539,Research Fund of Shenyang,1
6538,Research Fund of Guangxi Key Lab of Multi-source Information Mining Security,1
6537,Research Fund of Guangxi Key Lab of Intelligent Integrated Automation,1
6536,Research Fund of Guangdong‐Hong Kong‐Macao Joint Laboratory for Intelligent Micro Nano Optoelectronic Technology,1
6535,Research Fund of Guangdong-Hong Kong-Macao Joint Laboratory for Intelligent Micro Nano Optoelectronic Technology,1
6534,Research Fund Management and Research Exploitation,1
6533,Research Foundation—Flanders,1
7888,Traditional Chinese Medicine Prevention and Treatment of Facial Feature Disease Hunan Province Key Laboratory Construction Program,1
7889,Traditional Chinese Medicine Science and Technology Project of Jiangxi Provincial Commission of Health and Family Planning,1
6531,"Research Foundation of Science and Technology Plan Project, Shenzhen, China",1
7890,Traditional Chinese Medicine Scientific Research Program of Jiangxi Health and Family Planning Commission,1
7891,Traditional Chinese Medicine project of Zhejiang Province,1
6530,"Research Foundation of Science and Technology Plan Project, Guangdong, China",1
6544,"Research Grants Council, Hong Kong",1
7881,Toronto General and Western Hospital Foundation,1
6563,Research to Blindness,1
7880,Toronto General Hospital Psychiatry Research Fund,1
6562,Research project of medical and health units in Yunnan province,1
6561,Research on the Application of Multi-modal Artificial Intelligence in Diagnosis and Treatment of Type 2 Diabetes,1
6560,Research and Development grants for Lifestyle‐related Diseases including Cardiovascular Diseases and Diabetes Mellitus,1
6559,Research and Development grants for Lifestyle-related Diseases including Cardiovascular Diseases and Diabetes Mellitus,1
7871,"Topcon Medical Systems, Inc",1
6558,"Research and Development Corporation of Newfoundland and Labrador, RDC",1
7872,"Topcon Medical Systems, Inc.",1
7873,"Topcon Medical Sytems, Inc.",1
6555,Research Service of the Ralph H. Johnson Department of Veterans Affairs Medical Center,1
6554,Research Institute of Computer Science,1
7874,Topcon Research Foundation,1
6553,"Research Institute for Sustainable Humanosphere, Kyoto University, RISH",1
6552,Research Institute for Health Sciences of Chiang Mai University,1
6551,Research Institute for Diseases in the Elderly,1
6550,Research Institute,1
7875,Topcon Research Institute,1
7876,Topcon and Japan Society for the Promotion of Science,1
7877,"Toray Medical Co., Ltd",1
7879,Toronto General Hospital,1
0,", 13/0004729)",1
4414,Lions Ride for Sight,1
5035,Moorfields Eye Hospital London,1
1661,Corona-Foundation,1
1678,Creative Research Groups of Higher Education of Xinjiang Uygur Autonomous Region,1
1677,"Craig H. Neilsen Foundation, CHNF",1
1676,"Crafoordska Stiftelsen, and Direktör Albert Påhlssons Stiftelse",1
1675,"Crafoordska Stiftelsen, and Direkto€r Albert Påhls-sons Stiftelse",1
1672,Covidien,1
1671,"Courant Forschungszentrum Geobiologie, Georg-August-Universität Göttingen, CRC",1
1668,Council of Scientific & Industrial Research,1
1667,Council of Canada,1
1666,"Council of Agriculture, COA",1
1664,Coulter Translational Research Partnership Program,1
1663,Coulter,1
1662,Cosmetology Research Foundation,1
1660,Cornell Scott Hill Health Center,1
1682,Crowley Family Fund,1
1659,Corkin and Maher Family Fund,1
1657,Core Facility Center,1
1656,Core,1
1654,Copenhagen University,1
1653,Copenhagen County,1
1652,Coordination for Higher Level Graduate Improvement,1
1651,Coordenação de Pessoal de Nível Superior,1
1649,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,1
1648,Convocatoria de Subvenciones para la Financiación de la Investigación y la Innovación Biomédica y en Ciencias de la Salud en el Marco de la Iniciativa Territorial Integrada 2014-2020 para la Provincia de Cádiz,1
1647,Convention Center Dublin,1
1646,Consultant/Advisory Board for Amgen,1
1645,Consultant – Ivantis,1
1680,Cross of Medicine and Engineering of SJTU,1
1683,Crowley Family Research Fund,1
1721,DKFZ Heidelberg and Live Cell Imaging Mannheim,1
1705,"Cytokinetics, CYTK",1
1719,DIACET,1
1718,DGPT,1
1717,DFG,1
1716,DF Santos,1
1714,DEL/SFI,1
1713,DEL,1
1712,DEI,1
1710,DBT-JRF,1
1709,DAFNE,1
1708,D.O.R.C. International,1
1707,D.A.F.,1
1706,D.A.,1
1703,Cystic Fibrosis Foundation,1
1684,Crown Princess Margare-ta‘s Committee for the Blind,1
1702,CymaBay Therapeutics,1
1700,Curing Retinal Blindness Foundation,1
1698,"Cure Alzheimer's Fund, CureAlz",1
1697,Cumming School of Medicine’s Clinical Research Fund,1
1696,Culver-Vision Discovery Institute at Augusta University,1
1694,Cultech Ltd,1
1693,Cultech Limited,1
1692,Crown Princess Margarita’s Committee for the Blind,1
1690,"Crown Princess Margaretas Committee for the Blind, Olle Engqvist Foundation",1
1689,Crown Princess Margaretas Committee for the Blind and Edwin Jordan Foundation,1
1687,"Crown Princess Margareta Committee for the Blind, Crafoord Foundation",1
1685,Crown Princess Margareta Association for the Visually Impaired,1
1644,Construction Project of Key Laboratory of Traditional Chinese Medicine for Prevention and Treatment of Otorhinolaryngology in Hunan Province,1
1643,Construction Project of Key Discipline of Traditional Chinese Medicine in Hunan Province,1
1641,Construct Program of the Key Discipline in Hunan Province,1
1585,Communication Manager of l'Institut du Thorax,1
1601,"Connecticut Lions Research Foundation, Inc.",1
1600,Connect Network,1
1598,Congressional Glaucoma Caucus Foundation,1
1597,Concord Hospital,1
1596,Concerted Research Actions of the Regional Government of Flanders,1
1595,Concerted Research Actions,1
1592,Comprehensive Sickle Cell Center,1
1590,Comprehensive Research on Dementia,1
1589,"Comprehensive Cancer Center, City of Hope",1
1588,Competence Network for Diabetes mellitus,1
1587,Competence Network for Diabetes Mellitus,1
1586,"Compagnia di San Paolo, CSP",1
1583,"Commonwealth Fund, CF",1
1640,Consorci Sanitari de Terrassa,1
1582,Commonwealth Caribbean Medical Research Council,1
1580,Committee for Actelion,1
1579,Comité National Informatique et Libertés,1
1578,Comité National Coordination Action Handicap,1
1577,Comit National Coordination Action Handicap,1
1576,Comisión de Investigaciones Científicas de la Prov,1
1574,"Comisión Interministerial de Ciencia y Tecnología, CICYT",1
1573,Combat Blindness,1
1571,Columbia Irving Center for Clinical Research,1
1570,"Colorado State University, CSU",1
1569,"Colorado Scientific Society, CSS",1
1568,Colorado Heart Imaging Center in Denver,1
1602,Connecticut Regenerative Medicine Research Fund,1
1603,Conni Skrubbeltrang and librarian Louise Stenholt,1
1604,Conseil Général des Alpes-Maritimes,1
1605,"Conseil National de la Recherche Scientifique, CNRS-L",1
1639,"Consiglio Nazionale delle Ricerche, CNR",1
1637,Consellería de Economía e Industria,1
1636,"Consellería de Cultura, Educación e Universidade, Xunta de Galicia",1
1634,Conseller?a de Educaci?n,1
1632,Conselho Nacional de Desenvolvimento Científico e Tecnológico do Brasil,1
1631,Conselho Nacional de Desenvolvimento Científico e Tecnológico,1
1629,Conselho Nacional de Desenvolvimento Cientí-fico e Tecnológico,1
1628,Conselho Nacional de Desenvolvimento Cientí 퀀ico e Tecnológico,1
1627,Conselho Nacional de Desenvolvimento Cient?fico e Tecnol?gico do Brasil,1
1625,Conselho Nacional de Desenvolvimento Cient?fico e Tec-nol?,1
1624,Consel-lería de Presidencia,1
1623,Consejo de Investigaciones Científicas y Tecnológicas,1
1622,"Consejo de Desarrollo Científico, Humanístico, Tecnológico y de las Artes, Universidad de Los Andes Venezuela, CDCHT, ULA",1
1621,"Consejo de Desarrollo Científico, Humanístico y Tecnológico, Universidad del Zulia, CONDES",1
1620,"Consejo de Desarrollo Cient?fico, Human?stico y Tecnol?gico",1
1617,"Consejo Nacional de Ciencia y TecnologÃ­a, Paraguay, El CONACYT",1
1616,Consejo Nacional de Ciencia y Tecnolog?a,1
1615,Consejerıá de Salud de la Junta de Andalucıá,1
1614,"Consejería de Salud y Familias, Junta de Andalucía",1
1613,Consejería de Innovación Ciencia y Empresa,1
1612,"Consejería de Educación, Juventud y Deporte, Comunidad de Madrid",1
1610,"Consejeria de Salud, Junta de Andalucia",1
1609,Conseils Régionaux d’Aquitaine et Bourgogne,1
1607,Conseil Régional des Pays de la Loire,1
1606,Conseil Régional PACA,1
1720,DIfE,1
1722,DLM,1
5034,Moorfields Eye Hospital Institute of Ophthalmology,1
1831,Department of Biological Regulation,1
1848,Department of Computer Science,1
1847,Department of Community Health Sciences,1
1846,"Department of Community Eye Health, RP,Center, All India Institute of Medical sciences",1
1845,"Department of Clinical and Molecular Medicine, NTNU",1
1844,Department of Clinical Nutrition,1
1841,"Department of Clinical & Experimental Medicine, Faculty of Health & Medical Sciences",1
1840,Department of Chemical and Process Engineering,1
1839,Department of Central Laboratory,1
1838,Department of Cellular Pathology,1
1835,Department of Biotechnology,1
1834,Department of Biomedical Sciences at Rockford,1
1833,Department of Biomedical Sciences,1
1828,"Department of Basic Medicine, Chengdu Medical College, Chengdu",1
1850,"Department of Computer Science, University of Oxford",1
1827,"Department of Atomic Energy, Government of India, पऊवि",1
1826,Department of Atomic Energy Consortium for Scientific Research,1
1825,Department of Anatomy/Cell Biology and School of Medicine,1
1823,Department for International Development,1
1821,Department and Physician,1
1820,Department Research to Prevent Blindness,1
1819,"Departement Economie, Wetenschap en Innovatie, EWI",1
1818,Departamento de Ciência e Tecnologia,1
1817,"Departamento Administrativo de Ciencia, Tecnología e Innovación",1
1816,"Departament de Salut, Generalitat de Catalunya",1
1815,Departament de Salut,1
1814,Deparment of Veterans Affairs Merit system,1
1849,"Department of Computer Science and Engineering, Seoul National University, CSE, SNU",1
1851,Department of Defense Breast Cancer Program,1
1724,DOD-Grant,1
1871,"Department of Endocrinology and Diabetes, Saitama Medical University",1
1885,Department of Health and Family Welfare,1
1884,Department of Health Science,1
1882,Department of Health Research,1
1881,Department of Health,1
1880,Department of GeoSciences,1
1879,"Department of Genetics, University of Alabama at Birmingham",1
1877,Department of Foreign Affairs and Trade,1
1876,"Department of Family and Community Medicine, University of Toronto, DFCM",1
1875,"Department of Eye and Vision Science, University of Liverpool",1
1874,Department of Epidemiology and biostatistics,1
1873,Department of Energy Physics-Informed Learning Machines,1
1872,Department of Endocrinology and Metabolism,1
1869,Department of Employment and Workplace Relations,1
1852,Department of Defense Gulf War Illness Research Program,1
1868,"Department of Electronic and Computer Engineering, The Hong Kong University of Science and Technology",1
1867,"Department of Education, Shanxi Province",1
1865,"Department of Education, Hunan Province, China",1
1864,"Department of Education, Hunan Province",1
1863,"Department of Education, Heilongjiang Province",1
1862,"Department of Education, Fujian Province",1
1861,"Department of Education, Employment and Workplace Relations, Australian Government, DEEWR",1
1858,Department of Education,1
1857,"Department of Diabetes, Endocrinology and Metabolism",1
1855,Department of Diabetes and Endocrinology,1
1854,Department of Diabetes & Endocrinology,1
1853,Department of Dental Service,1
1813,Denka-Seiken Corporation,1
1811,"Defence Science and Technology Laboratory, Dstl",1
1810,DeepMind,1
1746,Daiichi Sankyo Co,1
1764,Damm-Etienne Foundation,1
1763,Dalian Municipal Government,1
1762,"Dalian Medical University, DMU",1
1761,"Dalian Institute of Chemical Physics, DICP",1
1760,DalCor Pharmaceuticals,1
1758,Dainippon-Sumitomo,1
1757,Dainippon Sumitomo Pharmaceutical Co. Ltd.,1
1755,Dainihon-Sumitomo,1
1753,"Daiichi-Sankyo Co., Ltd",1
1750,Daiichi Sankyo Inc.,1
1749,Daiichi Sankyo Foundation of Life Science,1
1748,"Daiichi Sankyo Europe, DSE",1
1744,Dagmar Saléns Foundation,1
1809,"Debreceni Egyetem, DE",1
1743,Dagmar Marshalls Fond,1
1742,Daffodil International University,1
1741,Daedalus Fund for Innovation at Weill Cornell Medicine,1
1740,Da Qing First Hospital,1
1738,DUK,1
1737,DTSQ,1
1736,DST-SERB,1
1734,DST-INSPIRE,1
1732,"DSF Charitable Foundation, DSFCF",1
1730,DRILL,1
1729,DRCR Retina.net,1
1727,DR Research-Inception Institute of Artificial Intelligence,1
1765,Dance Biopharm,1
1766,Danica Pension,1
1768,Danish Agency for Science and Higher Education,1
1769,Danish Center for Evaluation and Health Technology Assessment,1
1808,Debendra Sahu,1
1807,Dean‑ Tirunelveli Medical College and Hospital,1
1806,"Deanship of Scientific Research, King Saud University",1
1805,Dean McGee Eye Institute Vision Cores,1
1803,Deafness Research Foundation,1
1801,"De Blindas Vänner, Agneta Prytz‐Folkes och Gösta Folkes stiftelse and Kronprinsessan Margaretas Arbetsnämnd för Synskadade",1
1800,De Blindas Vänner and Kronprinsessan Margaretas Arbetsnämnd för synskadade,1
1799,De Blin-das Vänner and Kronprinsessan Margaretas Arbetsnämnd för synskadade,1
1798,Davies Adeloye of the Centre for Global Health Research,1
1797,David Woods Kemper Memorial Foundation,1
1796,David Sarraf: consultant for Amgen,1
1794,Data Safety Monitoring Board,1
1793,Data Across Sectors for Health,1
1792,"Dartmouth-Hitchcock Medical Center, DHMC",1
1791,"Dartmouth College, Dartmouth",1
1790,Darma Inc.,1
1789,Daphne Jackson Trust,1
1785,Danish Society for the Blind,1
1784,Danish Research Fund,1
1783,Danish Pharmaceutical Association,1
1780,Danish Medical Associations Research Foundation,1
1779,Danish Health Research Council,1
1778,Danish Eye Research Foundation,1
1774,Danish Data Protection Agency,1
1773,Danish Council for Strategic Research and Odense University Hospital,1
1566,"Colorado Clinical and Translational Sciences Institute, CCTSI",1
1565,Collège de France,1
1564,Colleges and Universities Key Laboratory of Intelligent Integrated Automation,1
1344,Chaonan RenMin Hospital,1
1358,Charlotte Taul Brændstrup and Postdoc Blanca Irene Aldana Garcia,1
1357,Charlotte Taul Br?ndstrup and Postdoc Blanca Irene Aldana Garcia,1
1356,Charlotte Hulin,1
1355,Charleston SC VA Medical Center,1
1354,Charleston Neuroscience Institute,1
1352,"Charles Stark Draper Laboratory, Draper",1
1351,Charles Perkins Centre,1
1350,Charles H. and Anna S. Stern Foundation,1
1349,Charles H. Hood Foundation,1
1348,"Charles Darwin University, CDU",1
1347,Charles Culpeper Scholarship Fund,1
1345,Char Eye Ear & Throat Association,1
1343,Changsha Science and Technology Project,1
1360,Chastine McKinney Moeller Foundation,1
1342,Changsha Municipal Natural Science Foundation,1
1341,Changsha Medical University,1
1340,Changsha Aier Eye Hospital and Aier Eye Institute,1
1339,Changjiang Scholars Reserve Foundation of Education Department,1
1338,"Changchun University of Traditional Chinese Medicine, Taiz ou F",1
1336,Chang Gung Memorial Hospital Research Grants,1
1335,Chang Gung Medical Foundation,1
1333,Chambers Family Fund,1
1332,Chamada Universal MCTI,1
1331,Ceramedix Inc.,1
1330,Century II Equipment fund,1
1329,Centrum Zdrowia MDM,1
