,Journal,Document Type,counts
8958,"Proceedings - 2015 7th international conference on information technology in medicine and education, itme 2015",Conference paper,1
8956,"Proceedings - 2014 international symposium on computer, consumer and control, is3c 2014",Conference paper,1
8954,"Proceedings - 2014 ieee 10th international colloquium on signal processing and its applications, cspa 2014",Conference paper,1
8997,"Proceedings - 2019 ieee 19th international conference on bioinformatics and bioengineering, bibe 2019",Conference paper,1
8953,"Proceedings - 2014 7th international conference on biomedical engineering and informatics, bmei 2014",Conference paper,1
8952,"Proceedings - 2014 6th international conference on computational intelligence and communication networks, cicn 2014",Conference paper,1
8951,"Proceedings - 2014 5th international conference on signal and image processing, icsip 2014",Conference paper,1
8950,"Proceedings - 2014 13th international conference on information technology, icit 2014",Conference paper,1
8949,"Proceedings - 2014 11th international conference on computer graphics, imaging and visualization: new techniques and trends, cgiv 2014",Conference paper,1
8947,"Proceedings - 2013 ieee international conference on systems, man, and cybernetics, smc 2013",Conference paper,1
8945,"Proceedings - 2013 ieee conference on systems, process and control, icspc 2013",Conference paper,1
8944,"Proceedings - 2013 3rd international conference on advances in computing and communications, icacc 2013",Conference paper,1
8943,"Proceedings - 2012 ieee international conference on control system, computing and engineering, iccsce 2012",Conference paper,1
8942,"Proceedings - 2012 ieee international conference on bioinformatics and biomedicine, bibm 2012",Conference paper,1
8970,"Proceedings - 2016 6th international symposium on embedded computing and system design, ised 2016",Conference paper,1
8971,"Proceedings - 2016 9th international congress on image and signal processing, biomedical engineering and informatics, cisp-bmei 2016",Conference paper,1
8972,"Proceedings - 2016 ieee 12th international conference on intelligent computer communication and processing, iccp 2016",Conference paper,1
8973,"Proceedings - 2016 ieee 1st international conference on connected health: applications, systems and engineering technologies, chase 2016",Conference paper,1
8996,"Proceedings - 2019 ieee 15th international colloquium on signal processing and its applications, cspa 2019",Conference paper,1
8995,"Proceedings - 2019 amity international conference on artificial intelligence, aicai 2019",Conference paper,1
8994,"Proceedings - 2019 6th international conference on image and signal processing and their applications, ispa 2019",Conference paper,1
8993,"Proceedings - 2019 22nd international conference on control systems and computer science, cscs 2019",Conference paper,1
8992,"Proceedings - 2019 12th international congress on image and signal processing, biomedical engineering and informatics, cisp-bmei 2019",Conference paper,1
8991,"Proceedings - 2019 12th international conference on ubi-media computing, ubi-media 2019",Conference paper,1
8990,"Proceedings - 2018 international conference on sensor networks and signal processing, snsp 2018",Conference paper,1
8989,"Proceedings - 2018 ieee international conference on systems, man, and cybernetics, smc 2018",Conference paper,1
8988,"Proceedings - 2018 ieee international conference on bioinformatics and biomedicine, bibm 2018",Conference paper,1
8987,"Proceedings - 2018 ieee 19th international conference on information reuse and integration for data science, iri 2018",Conference paper,1
8985,"Proceedings - 2018 10th international conference on advanced computational intelligence, icaci 2018",Conference paper,1
8984,"Proceedings - 2017 international conference on computational science and computational intelligence, csci 2017",Conference paper,1
8983,"Proceedings - 2017 ieee international conference on bioinformatics and biomedicine, bibm 2017",Conference paper,1
8982,"Proceedings - 2017 ieee 17th international conference on bioinformatics and bioengineering, bibe 2017",Conference paper,1
8981,"Proceedings - 2017 2nd international conference on man and machine interfacing, mami 2017",Conference paper,1
8980,"Proceedings - 2017 1st international conference on informatics and computational sciences, icicos 2017",Conference paper,1
8979,"Proceedings - 2017 14th international conference on computer graphics, imaging and visualization, cgiv 2017",Conference paper,1
8977,"Proceedings - 2016 ieee international symposium on multimedia, ism 2016",Conference paper,1
8976,"Proceedings - 2016 ieee international conference on bioinformatics and biomedicine, bibm 2016",Conference paper,1
8975,"Proceedings - 2016 ieee 2nd international conference on multimedia big data, bigmm 2016",Conference paper,1
8974,"Proceedings - 2016 ieee 28th international conference on tools with artificial intelligence, ictai 2016",Conference paper,1
9063,"Proceedings - 2nd international conference on informatics, multimedia, cyber, and information system, icimcis 2020",Conference paper,1
9065,"Proceedings - 2nd international conference on power electronics and energy, icpee 2023",Conference paper,1
9208,"Proceedings of the 2014 international conference on issues and challenges in intelligent computing techniques, icict 2014",Conference paper,1
9154,"Proceedings of 2022 ieee international conference of electron devices society kolkata chapter, edkcon 2022",Conference paper,1
9170,Proceedings of dfma 2006 - 2nd international conference on distributed frameworks for multimedia applications,Conference paper,1
9169,"Proceedings of conecct 2021: 7th ieee international conference on electronics, computing and communication technologies",Conference paper,1
9167,Proceedings of b-htc 2020 - 1st ieee bangalore humanitarian technology conference,Conference paper,1
9166,"Proceedings of a special session - 16th mexican international conference on artificial intelligence: advances in artificial intelligence, micai 2017",Conference paper,1
9165,"Proceedings of 6th international conference on information technology research: digital resilience and reinvention, icitr 2021",Conference paper,1
9164,"Proceedings of 5th international conference on emerging applications of information technology, eait 2018",Conference paper,1
9163,"Proceedings of 5th international conference on contemporary computing and informatics, ic3i 2022",Conference paper,1
9162,"Proceedings of 4th international conference on cybernetics, cognition and machine learning applications, icccmla 2022",Conference paper,1
9159,"Proceedings of 2nd ieee international conference on engineering and technology, icetech 2016",Conference paper,1
9158,"Proceedings of 2nd ieee international conference on computational intelligence and knowledge economy, iccike 2021",Conference paper,1
9153,"Proceedings of 2022 ieee 11th data driven control and learning systems conference, ddcls 2022",Conference paper,1
7296,Management of nutritional and metabolic complications of bariatric surgery,Book chapter,1
9151,"Proceedings of 2022 2nd international conference on computing and information technology, iccit 2022",Conference paper,1
9150,"Proceedings of 2022 25th international conference on computer and information technology, iccit 2022",Conference paper,1
9149,"Proceedings of 2021 ieee international conference on biomedical engineering, computer and information technology for health, becithcon 2021",Conference paper,1
9148,"Proceedings of 2021 ieee 7th international conference on bio signals, images and instrumentation, icbsii 2021",Conference paper,1
9147,"Proceedings of 2021 2nd international conference on intelligent engineering and management, iciem 2021",Conference paper,1
9146,"Proceedings of 2020 ieee international conference on technology, engineering, management for societal impact using marketing, entrepreneurship and talent, temsmet 2020",Conference paper,1
9145,"Proceedings of 2020 ieee international conference on advances and developments in electrical and electronics engineering, icadee 2020",Conference paper,1
9144,"Proceedings of 2019 international conference on information and communication technology and systems, icts 2019",Conference paper,1
9143,"Proceedings of 2018 ieee applied signal processing conference, aspcon 2018",Conference paper,1
9142,"Proceedings of 2018 2nd international conference on biomedical engineering: smart technology for better society, ibiomed 2018",Conference paper,1
9172,Proceedings of icitr 2020 - 5th international conference on information technology research: towards the new digital enlightenment,Conference paper,1
9176,"Proceedings of international conference on electronics, communications and information technology, icecit 2021",Conference paper,1
9177,"Proceedings of international conference on technological advancements and innovations, ictai 2021",Conference paper,1
9178,Proceedings of itnt 2020 - 6th ieee international conference on information technology and nanotechnology,Conference paper,1
9207,"Proceedings of the 2013 international conference on information systems and computer networks, iscon 2013",Conference paper,1
9205,"Proceedings of the 2013 ieee 8th conference on industrial electronics and applications, iciea 2013",Conference paper,1
9204,"Proceedings of the 2013 7th international conference on pervasive computing technologies for healthcare and workshops, pervasivehealth 2013",Conference paper,1
9202,"Proceedings of the 2013 4th international workshop on computational intelligence in medical imaging, cimi 2013 - 2013 ieee symposium series on computational intelligence, ssci 2013",Conference paper,1
9201,"Proceedings of the 2012 world congress on information and communication technologies, wict 2012",Conference paper,1
9200,"Proceedings of the 2012 international conference on high performance computing and simulation, hpcs 2012",Conference paper,1
9199,"Proceedings of the 2012 8th international symposium on communication systems, networks and digital signal processing, csndsp 2012",Conference paper,1
9198,"Proceedings of the 2011 world congress on information and communication technologies, wict 2011",Conference paper,1
9197,"Proceedings of the 2011 international conference on image processing, computer vision, and pattern recognition, ipcv 2011",Conference paper,1
9196,"Proceedings of the 2011 biomedical sciences and engineering conference: image informatics and analytics in biomedicine, bsec 2011",Conference paper,1
9195,"Proceedings of the 2010 ieee 36th annual northeast bioengineering conference, nebec 2010",Conference paper,1
9194,"Proceedings of the 2009 3rd international conference on research challenges in information science, rcis 2009",Conference paper,1
9193,"Proceedings of the 2008 international conference on image processing, computer vision, and pattern recognition, ipcv 2008",Conference paper,1
9192,"Proceedings of the 2007 international conference on image processing, computer vision, and pattern recognition, ipcv 2007",Conference paper,1
9191,"Proceedings of the 17th international multi-conference on systems, signals and devices, ssd 2020",Conference paper,1
9190,"Proceedings of the 16th international conference on machine vision applications, mva 2019",Conference paper,1
9189,"Proceedings of the 15th iapr international conference on machine vision applications, mva 2017",Conference paper,1
9188,"Proceedings of the 14th annual ieee international conference on nano/micro engineered and molecular systems, nems 2019",Conference paper,1
9187,"Proceedings of the 11th international conference on information and communication technology and system, icts 2017",Conference paper,1
9186,"Proceedings of the 11th international conference on advanced computing, icoac 2019",Conference paper,1
9179,Proceedings of itnt 2021 - 7th ieee international conference on information technology and nanotechnology,Conference paper,1
9141,"Proceedings of 2018 2nd international conference on advances in electronics, computers and communications, icaecc 2018",Conference paper,1
9139,"Proceedings of 2017 5th international conference on instrumentation, communications, information technology, and biomedical engineering, icici-bme 2017",Conference paper,1
9066,"Proceedings - 2nd international conference on smart electronics and communication, icosec 2021",Conference paper,1
9078,"Proceedings - 5th ieee international conference on control system, computing and engineering, iccsce 2015",Conference paper,1
9092,Proceedings - icces 2019: 2019 14th international conference on computer engineering and systems,Conference paper,1
9091,"Proceedings - computer graphics, imaging and visualization: new techniques and trends, cgiv 2016",Conference paper,1
9090,Proceedings - applied imagery pattern recognition workshop,Conference paper,1
9089,"Proceedings - annual meeting, microscopy society of america",Conference paper,1
9088,"Proceedings - 9th ieee international conference on control system, computing and engineering, iccsce 2019",Conference paper,1
9087,"Proceedings - 8th international conference on virtual reality and visualization, icvrv 2018",Conference paper,1
9085,"Proceedings - 6th russian-korean international symposium on science and technology, korus 2002",Conference paper,1
9083,"Proceedings - 6th international advanced computing conference, iacc 2016",Conference paper,1
9082,"Proceedings - 6th indian conference on computer vision, graphics and image processing, icvgip 2008",Conference paper,1
9079,"Proceedings - 5th international conference on computer and communication engineering: emerging technologies via comp-unication convergence, iccce 2014",Conference paper,1
9077,"Proceedings - 4th international conference on vocational education and electrical engineering: strengthening engagement with communities through artificial intelligence application in education, electrical engineering and information technology, icvee 2021",Conference paper,1
9138,"Proceedings of 2017 3rd ieee international conference on sensing, signal processing and security, icsss 2017",Conference paper,1
9076,"Proceedings - 4th international conference on smart systems and inventive technology, icssit 2022",Conference paper,1
9075,"Proceedings - 4th ieee/acm conference on connected health: applications, systems and engineering technologies, chase 2019",Conference paper,1
9074,"Proceedings - 4th ieee international conference on control system, computing and engineering, iccsce 2014",Conference paper,1
9073,"Proceedings - 3rd international conference on multimedia information processing and retrieval, mipr 2020",Conference paper,1
9072,"Proceedings - 3rd international conference on informatics, multimedia, cyber, and information system, icimcis 2021",Conference paper,1
9071,"Proceedings - 3rd international conference on developments in esystems engineering, dese 2010",Conference paper,1
9070,"Proceedings - 3rd international conference ""neurotechnologies and neurointerfaces"", cnn 2021",Conference paper,1
9069,"Proceedings - 3rd iapr asian conference on pattern recognition, acpr 2015",Conference paper,1
9068,"Proceedings - 32nd southern biomedical engineering conference, sbec 2016",Conference paper,1
9067,"Proceedings - 2nd international conference on smart technologies, communication and robotics 2022, stcr 2022",Conference paper,1
9095,"Proceedings - ieee 22nd international conference on bioinformatics and bioengineering, bibe 2022",Conference paper,1
9097,"Proceedings - ieee international conference on device intelligence, computing and communication technologies, dicct 2023",Conference paper,1
9099,Proceedings - ieee international conference on multimedia and expo,Conference paper,1
9100,Proceedings - ieee international conference on robotics and automation,Conference paper,1
9136,"Proceedings of 2016 international conference on information and communication technology and systems, icts 2016",Conference paper,1
9134,"Proceedings of 2016 8th ieee international conference on communication software and networks, iccsn 2016",Conference paper,1
9133,"Proceedings of 2016 5th international conference on computer science and network technology, iccsnt 2016",Conference paper,1
9132,"Proceedings of 2015 ieee international conference on research in computational intelligence and communication networks, icrcicn 2015",Conference paper,1
9130,"Proceedings of 2014 international conference on information, communication technology and system, icts 2014",Conference paper,1
9127,"Proceedings of 2010 ieee embs conference on biomedical engineering and sciences, iecbes 2010",Conference paper,1
9126,Proceedings of 2006 international conference on microtechnologies in medicine and biology,Conference paper,1
9125,"Proceedings of 2005 international symposium on intelligent signal processing and communication systems, ispacs 2005",Conference paper,1
9124,"Proceedings of 1st international conference on innovations in information and communication technology, iciict 2019",Conference paper,1
9122,"Proceedings 2018 chinese automation congress, cac 2018",Conference paper,1
9121,"Proceedings 2011 international conference on human health and biomedical engineering, hhbe 2011",Conference paper,1
9119,Proceedings - symposium on computer architecture and high performance computing,Conference paper,1
9118,"Proceedings - seventh ieee workshop on applications of computer vision, wacv 2005",Conference paper,1
9116,"Proceedings - international research conference on smart computing and systems engineering, scse 2021",Conference paper,1
9112,Proceedings - international conference on machine learning and cybernetics,Conference paper,1
9109,"Proceedings - international conference on image analysis and processing, iciap 1999",Conference paper,1
9108,"Proceedings - international conference on computing: theory and applications, iccta 2007",Conference paper,1
9107,"Proceedings - international conference on computer vision and image analysis applications, iccvia 2015",Conference paper,1
9105,"Proceedings - international conference on artificial intelligence and smart systems, icais 2021",Conference paper,1
9103,"Proceedings - ieee-embs international conference on biomedical and health informatics: global grand challenge of health informatics, bhi 2012",Conference paper,1
9101,Proceedings - ieee international symposium on circuits and systems,Conference paper,1
7297,Managing diabetic eye disease in clinical practice,Book,1
0,"10th international conference on advances in computing, control, and telecommunication technologies, act 2019",Conference paper,1
7295,Management of hypertension: current practice and the application of landmark trials,Book chapter,1
2247,Cardiovascular and interventional radiology,Article,1
2275,Case reports and clinical practice review,Article,1
2274,Case manager,Article,1
2272,Cardiovascular therapy and prevention (russian federation),Article,1
2269,Cardiovascular research,Editorial,1
2267,Cardiovascular regeneration therapies using tissue engineering approaches,Book chapter,1
2266,Cardiovascular psychiatry and neurology,Review,1
2259,Cardiovascular endocrinology and metabolism: theory and practice of cardiometabolic medicine,Book chapter,1
2257,Cardiovascular endocrinology and metabolism,Article,1
2256,Cardiovascular endocrinology,Review,1
2255,Cardiovascular endocrinology,Conference paper,1
2254,Cardiovascular endocrinology,Article,1
2248,Cardiovascular and interventional radiology,Conference paper,1
2246,Cardiovascular and hematological disorders - drug targets,Review,1
2219,Capsula eburnea,Review,1
2245,Cardiovascular and hematological disorders - drug targets,Article,1
2243,Cardiovascular and hematological agents in medicinal chemistry,Note,1
2241,Cardiorenal medicine,Review,1
2234,Cardiology research and practice,Article,1
2233,Cardiology research,Article,1
2232,Cardiology journal,Article,1
2231,Cardiology international,Conference paper,1
2228,Cardiology clinics,Article,1
2225,Cardiology,Article,1
2224,Cardiac pet and pet/ct imaging,Book chapter,1
2223,Cardiac adaptations: molecular mechanisms,Book chapter,1
2222,Carbohydrate polymers,Review,1
2276,Case reports and clinical practice review,Review,1
2278,Case reports in medicine,Article,1
2281,Case reports in neurology,Article,1
2283,Case studies in assisted reproduction: common and uncommon presentations,Book chapter,1
2337,Cell transplantation,Conference paper,1
2335,Cell structure and function,Review,1
2333,Cell reports medicine,Review,1
2331,Cell reports medicine,Article,1
2329,Cell preservation technology,Review,1
2325,Cell journal,Review,1
2324,Cell journal,Article,1
2323,Cell growth and differentiation,Review,1
2322,Cell genomics,Article,1
2320,Cell death discovery,Review,1
2317,Cell death and disease,Conference paper,1
2315,Cell death and differentiation,Article,1
2310,Cell calcium,Article,1
2309,Cell biology reviews : cbr,Review,1
2307,Cell biochemistry and function,Review,1
2306,Cell biochemistry and function,Letter,1
2304,Cell biochemistry and biophysics,Review,1
2300,Cell and tissue banking,Article,1
2295,Cell,Review,1
2294,Cell,Article,1
2293,"Cce 2022 - 2022 19th international conference on electrical engineering, computing science and automatic control",Conference paper,1
2291,Cataract,Book,1
2290,Caspian journal of internal medicine,Editorial,1
2288,Casopís lékarů ceských,Review,1
2284,Case studies in lipid management,Book chapter,1
2220,"Carbohydrate chemistry, biology and medical applications",Book chapter,1
2216,Cancer treatment reviews,Review,1
2601,Clinical biochemistry,Letter,1
2146,Cahiers de nutrition et de dietetique,Article,1
2171,Canadian journal of diabetes,Note,1
2168,Canadian journal of clinical pharmacology,Article,1
2167,Canadian journal of chemistry,Article,1
2166,Canadian journal of cardiology,Review,1
2165,Canadian journal of cardiology,Article,1
2164,Canadian journal of anesthesia,Review,1
2162,Canadian hospital,Article,1
2158,Canadian family physician,Letter,1
2154,Canadian association of radiologists journal,Review,1
2153,Canadian association of radiologists journal,Article,1
2152,"Cambridge handbook of psychology, health and medicine, second edition",Book chapter,1
2150,Calcified tissue international,Review,1
2145,Cah.med.,Article,1
2215,Cancer treatment and research,Review,1
2143,Caai transactions on intelligence technology,Article,1
2142,"C2013 ieee global humanitarian technology conference: south asia satellite, ghtc-sas 2013",Conference paper,1
2141,Byulleten eksperimentalnoi biologii i meditsiny,Article,1
2140,Bundesgesundheitsblatt - gesundheitsforschung - gesundheitsschutz,Article,1
2136,Bulletin of the world health organization,Letter,1
2135,Bulletin of the world health organization,Editorial,1
2133,Bulletin of the pan american health organization,Article,1
2132,Bulletin of the osaka medical college,Article,1
2131,Bulletin of the ophthalmological society of egypt,Review,1
2129,Bulletin of the new york academy of medicine: journal of urban health,Article,1
2128,Bulletin of the medical library association,Article,1
2127,Bulletin of the los angeles neurological society,Article,1
2173,Canadian journal of electrical and computer engineering,Article,1
2174,Canadian journal of emergency medicine,Article,1
2175,Canadian journal of gastroenterology,Article,1
2176,Canadian journal of gastroenterology and hepatology,Review,1
2213,Cancer prevention research,Review,1
2212,Cancer nanotechnology,Article,1
2211,Cancer letters,Review,1
2210,Cancer journal (united states),Review,1
2209,"Cancer immunology, immunotherapy",Article,1
2207,Cancer cell international,Review,1
2206,Cancer causes and control,Article,1
2205,Cancer biotherapy and radiopharmaceuticals,Review,1
2204,Cancer biology and therapy,Note,1
2203,Cancer,Article,1
2202,Canadian respiratory journal,Article,1
2201,Canadian pharmacists journal,Article,1
2199,Canadian pharmaceutical journal,Review,1
2197,Canadian medical association journal,Editorial,1
2195,Canadian journal on aging,Review,1
2194,Canadian journal of statistics,Conference paper,1
2193,Canadian journal of statistics,Article,1
2192,Canadian journal of public health,Article,1
2187,Canadian journal of ophthalmology,Note,1
2182,Canadian journal of neurological sciences,Note,1
2181,Canadian journal of neurological sciences,Letter,1
2180,Canadian journal of neurological sciences,Article,1
2179,Canadian journal of native studies,Review,1
2178,Canadian journal of kidney health and disease,Article,1
2177,Canadian journal of hospital pharmacy,Article,1
2341,Cells and development,Review,1
2343,Cellular & molecular immunology,Article,1
2344,Cellular and molecular bioengineering,Article,1
2499,Chirurgische gastroenterologie mit interdisziplinaren gesprachen,Article,1
2517,Cigarette smoke toxicity: linking individual chemicals to human diseases,Book chapter,1
2516,Ciencia y enfermeria,Article,1
2513,Cie 2016: 46th international conferences on computers and industrial engineering,Conference paper,1
2511,Chronobiologia,Article,1
2510,Chronic respiratory disease,Review,1
2509,Chronic respiratory disease,Editorial,1
2506,Chronic disease follow-ups for adults in primary care,Book chapter,1
2505,"Chronic allograft failure: natural history, pathogenesis, diagnosis and management",Book chapter,1
2504,Choroidal neovascularization,Book chapter,1
2503,Choroidal disorders,Book chapter,1
2502,Chongqing daxue xuebao/journal of chongqing university,Article,1
2501,Chirurgische praxis,Review,1
2498,Chirurgische gastroenterologie interdisziplinar,Conference paper,1
2354,Cellular reprogramming,Review,1
2497,Chirurgia polska,Article,1
2496,Chirurgia italiana,Article,1
2495,Chirurgia,Article,1
2494,Chirurg,Review,1
2493,Chirurg,Article,1
2492,Chinese traditional and herbal drugs,Review,1
2490,Chinese science bulletin,Article,1
2487,Chinese optics,Review,1
2484,Chinese medicine (united kingdom),Review,1
2482,Chinese medical sciences journal = chung-kuo i hsüeh k'o hsüeh tsa chih / chinese academy of medical sciences,Article,1
2479,Chinese medical journal (taipei),Article,1
2477,Chinese medical journal,Note,1
2519,Circular farmaceutica,Short survey,1
2523,Circulation,Note,1
2526,Circulation journal,Editorial,1
2527,Circulation journal,Review,1
2596,Clinical anesthesia,Review,1
2595,Clinical anesthesia,Article,1
2593,Clinical and translational radiation oncology,Article,1
2592,Clinical and translational immunology,Review,1
2591,Clinical and translational gastroenterology,Article,1
2590,Clinical and transfusion haematology,Review,1
2585,Clinical and refractive optometry,Editorial,1
2583,Clinical and laboratory haematology,Article,1
2574,Clinical and experimental optometry,Letter,1
2570,Clinical and experimental ophthalmology,Retracted,1
2565,Clinical and experimental obstetrics and gynecology,Article,1
2564,Clinical and experimental neurology,Article,1
2562,Clinical and experimental metastasis,Article,1
2559,Clinical and experimental hypertension,Review,1
2554,Clinical & experimental immunology,Article,1
2552,Clinica terapeutica,Note,1
2551,Clinica terapeutica,Letter,1
2550,Clinica terapeutica,Editorial,1
2547,Clinica e investigacion en arteriosclerosis,Review,1
2546,Clinica e investigacion en arteriosclerosis,Editorial,1
2541,Clinica cardiovascular,Editorial,1
2536,Cleft palate-craniofacial journal,Article,1
2534,Cirugia y cirujanos,Editorial,1
2532,Cirugia espanola,Article,1
2531,Circulation: cardiovascular interventions,Article,1
2473,Chinese journal of urology,Article,1
2472,Chinese journal of traumatology - english edition,Review,1
2470,Chinese journal of radiology,Article,1
2405,Chemometrics and intelligent laboratory systems,Article,1
2403,Chemistryselect,Article,1
2402,Chemistry of natural compounds,Article,1
2401,Chemistry and biodiversity,Review,1
2399,Chemistry,Article,1
2396,Chemical research in toxicology,Article,1
2395,Chemical record,Article,1
2394,Chemical genomics,Book chapter,1
2393,Chemical biology and drug design,Article,1
2391,"Chaos, solitons and fractals",Article,1
2390,"Channels (austin, tex.)",Article,1
2389,Changgeng yi xue za zhi / changgeng ji nian yi yuan = chang gung medical journal / chang gung memorial hospital,Article,1
2386,Ceská a slovenská oftalmologie : casopis ceské oftalmologické spolecnosti a slovenské oftalmologické spolecnosti,Review,1
2382,Ceskoslovenske zdravotnictvi,Article,1
2380,Cesko-slovenska radiologie,Article,1
2378,Cesko-slovenska gynekologie,Article,1
2377,Cesko-slovenska gastroenterologie a vyziva,Article,1
2374,Ceska a slovenska oftalmologie,Note,1
2372,Ceska a slovenska neurologie a neurochirurgie,Article,1
2371,Cerrahpasa tip fakultesi dergisi,Article,1
2370,Cerebrovascular diseases,Conference paper,1
2368,Cephalalgia,Article,1
2367,Central-european journal of immunology,Review,1
2365,Central nervous system agents in medicinal chemistry,Review,1
2358,"Cenim 2020 - proceeding: international conference on computer engineering, network, and intelligent multimedia 2020",Conference paper,1
2356,Cellular signalling,Review,1
2404,Chemmedchem,Article,1
2407,Chemotherapy,Article,1
2469,Chinese journal of public health,Article,1
2409,Chest,Editorial,1
2462,Chinese journal of organic chemistry,Article,1
2460,Chinese journal of ophthalmology,Editorial,1
2455,Chinese journal of nursing education,Article,1
2451,Chinese journal of medical imaging technology,Review,1
2450,Chinese journal of medical imaging technology,Article,1
2448,Chinese journal of liquid crystals and displays,Article,1
2444,Chinese journal of infection and chemotherapy,Article,1
2443,Chinese journal of health management,Review,1
2439,Chinese journal of experimental ophthalmology,Review,1
2437,Chinese journal of evidence-based medicine,Article,1
2434,Chinese journal of endocrine surgery,Review,1
2432,Chinese journal of endemiology,Article,1
2431,Chinese journal of electronics,Article,1
2425,Chinese journal of clinical oncology,Review,1
2424,Chinese journal of cancer prevention and treatment,Article,1
2422,Chinese journal of biologicals,Article,1
2421,Chinese journal of biochemistry and molecular biology,Article,1
2420,Chinese journal of antibiotics,Conference paper,1
2419,Chinese journal of anatomy and clinics,Review,1
2418,Chinese herbal medicines,Article,1
2414,Chimia,Review,1
2413,Children's hospital quarterly,Article,1
2412,Children,Article,1
2411,Chibret international journal of ophthalmology,Conference paper,1
2410,Chest,Review,1
2125,Bulletin of the calcutta school of tropical medicine,Article,1
2124,Bulletin of russian state medical university,Review,1
2123,Bulletin of russian state medical university,Article,1
1772,Biomedical instrumentation and technology,Short survey,1
1796,Biomedicine (france),Review,1
1794,Biomedical translational research: from disease diagnosis to treatment,Book chapter,1
1792,Biomedical signal processing and control,Retracted,1
1791,Biomedical signal processing and control,Conference paper,1
1786,Biomedical research (india),Letter,1
1781,Biomedical photonics,Article,1
1779,"Biomedical optics, biomed 2012",Conference paper,1
1778,Biomedical optics express,Review,1
1776,Biomedical journal,Short survey,1
1775,Biomedical journal,Review,1
1774,Biomedical journal,Editorial,1
1773,Biomedical journal,Article,1
1771,Biomedical image segmentation: advances and trends,Book chapter,1
1858,Biotherapy,Article,1
1769,Biomedical engineering letters,Editorial,1
1764,Biomedical and pharmacology journal,Review,1
1761,Biomedical and biotechnology research journal,Review,1
1760,Biomedica biochimica acta,Article,1
1757,Biomed research international,Letter,1
1755,Biomed research international,Conference paper,1
1753,Biomechanics and modeling in mechanobiology,Article,1
1752,Biomaterials science,Review,1
1751,Biomaterials science,Article,1
1749,Biomaterials,Review,1
1747,Biomarkers in medicine,Review,1
1745,Biomarkers,Review,1
1798,Biomedicine (india),Review,1
1799,Biomedicine (netherlands),Review,1
1801,"Biomedicine / [publiee pour l""a.a.i.c.i.g.]",Article,1
1802,Biomedicine and aging pathology,Article,1
1856,Biotecnologia aplicada,Article,1
1855,Biotechnology and genetic engineering reviews,Letter,1
1854,Biotechnology and genetic engineering reviews,Article,1
1853,Biotechnology and biotechnological equipment,Review,1
1851,Biotechnology and applied biochemistry,Article,1
1849,Biostatistics and epidemiology,Article,1
1847,Biosmart 2023 - proceedings: 5th international conference on bio-engineering for smart technologies,Conference paper,1
1846,Biosmart 2021 - proceedings: 4th international conference on bio-engineering for smart technologies,Conference paper,1
1845,Biosignals 2013 - proceedings of the international conference on bio-inspired systems and signal processing,Conference paper,1
1843,Biosignals 2008 - proceedings of the 1st international conference on bio-inspired systems and signal processing,Conference paper,1
1840,Biosensors,Editorial,1
1839,Biosensors,Article,1
1833,Biorheology,Review,1
1831,Biophysical properties in glaucoma: diagnostic technologies,Book chapter,1
1829,Biopharm international,Article,1
1823,Bionanoscience,Article,1
1821,Biomolecules,Editorial,1
1819,Biomolecular concepts,Review,1
1818,Biomolecular concepts,Article,1
1817,Biomimetics,Article,1
1816,Biomicrofluidics,Article,1
1812,Biometals,Review,1
1807,Biomedicine express,Article,1
1805,Biomedicine and pharmacotherapy,Note,1
1803,Biomedicine and aging pathology,Review,1
1743,Biomacromolecules,Article,1
1741,Biology of the cell,Article,1
1740,Biology bulletin,Article,1
1685,Biochemistry (moscow) supplement series b: biomedical chemistry,Article,1
1682,Biochemist,Article,1
1676,Biochemical pharmacology,Conference paper,1
1674,Biochemical medicine and metabolic biology,Article,1
1670,Biochemical and biophysical research communications,Short survey,1
1669,Biochemical and biophysical research communications,Review,1
1668,Biochemical and biophysical research communications,Editorial,1
1665,Biochemia medica,Article,1
1664,Biochemia clinica bohemoslovaca,Article,1
1663,Biocell,Review,1
1662,Biocell,Article,1
1661,Biocatalysis and agricultural biotechnology,Article,1
1660,Bioanalysis,Review,1
1659,Bioanalysis,Article,1
1658,Bioactive components: a sustainable system for good health and well-being,Book chapter,1
1655,Big data and visual analytics,Book chapter,1
1652,Bibliotheca ophthalmologica : supplementa ad ophthalmologica,Review,1
1648,Beyoglu eye journal,Article,1
1647,Best practice and research: clinical obstetrics and gynaecology,Review,1
1646,Best practice and research: clinical obstetrics and gynaecology,Article,1
1645,Best practice and research: clinical haematology,Review,1
1643,Best practice and research: clinical endocrinology and metabolism,Article,1
1642,Bernoulli,Article,1
1641,Berichte der deutschen ophthalmologischen gesellschaft,Article,1
1636,Beni-suef university journal of basic and applied sciences,Review,1
1635,Beneficial microbes,Review,1
1684,Biochemistry (moscow) supplement series a: membrane and cell biology,Review,1
1687,Biochemistry and biophysics reports,Article,1
1737,Biologics: targets and therapy,Review,1
1688,Biochemistry and cell biology,Article,1
1736,Biologicheskie membrany,Review,1
1735,Biological trace element research,Review,1
1733,Biological research,Review,1
1731,Biological chemistry,Review,1
1727,Bioinformatics 2010 - proceedings of the 1st international conference on bioinformatics,Conference paper,1
1726,Bioinformatics,Article,1
1725,Bioimpacts,Article,1
